nom_instance,nbr_machine,nbr_job,borne_inférieur,ecart_type,optimum_connu,optimum_global,voisinage,fitness,autocorrélation,ac_sans_neutre,ac_sans_plateau,taux_neutre,descente,resultat_min,resultat_moyen,resultat_max,nbr_pas_min,nbr_pas_moyen,nbr_pas_max,freq_optimum_glob,freq_borne_inf
Gp09-01,9,9,1000,171.557,1,1129,swap,nd,4.70266,0.645879,0.809468,0.7411,SHC,1143,1161.69,1200,2,9.05,19,0,0
Gp09-01,9,9,1000,171.557,1,1129,swap,nd,4.70266,0.645879,0.809468,0.7411,SHC_with_budget,1143,1149.79,1163,6049,9950.56,19391,0,0
Gp09-01,9,9,1000,171.557,1,1129,swap,FIFO-critique,11.7339,6.07527,6.82889,0.4067,SHC,1260,1455.03,1702,41,83.54,151,0,0
Gp09-01,9,9,1000,171.557,1,1129,swap,FIFO-critique,11.7339,6.07527,6.82889,0.4067,SHC_with_budget,1178,1306.71,1509,2182,4006.6,7744,0,0
Gp09-01,9,9,1000,171.557,1,1129,swap,prio,4.11275,0.688312,0.732914,0.7443,SHC,1148,1155.43,1180,63,121.25,219,0,0
Gp09-01,9,9,1000,171.557,1,1129,swap,prio,4.11275,0.688312,0.732914,0.7443,SHC_with_budget,1144,1149.72,1163,2411,5926.03,14597,0,0
