nom_instance,nbr_machine,nbr_job,borne_inférieur,ecart_type,optimum_connu,optimum_global,voisinage,fitness,rugosité,rugosité_sans_neutre,rugosité_sans_plateau,taux_neutre,descente,resultat_min,resultat_moyen,resultat_max,nbr_pas_min,nbr_pas_moyen,nbr_pas_max,freq_optimum_glob,freq_borne_inf
Gp10-07,10,10,1000,158.856,1,1079,swap,nd,3.50448,0.656517,0.815326,0.7413,SHC,1083,1127.92,1162,2,9.74,19,0,0
Gp10-07,10,10,1000,158.856,1,1079,swap,nd,3.50448,0.656517,0.815326,0.7413,SHC_with_budget,1081,1105,1134,7679,13287.6,29507,0,0
Gp10-07,10,10,1000,158.856,1,1079,insert,nd,6.19889,0.667466,0.761487,0.8363,SHC,1087,1134.75,1185,2,8.3,19,0,0
Gp10-07,10,10,1000,158.856,1,1079,insert,nd,6.19889,0.667466,0.761487,0.8363,SHC_with_budget,1081,1107.48,1144,9009,16923.9,36872,0,0
Gp10-07,10,10,1000,158.856,1,1079,swap+insert,nd,7.22307,0.571267,0.551264,0.8136,SHC,1084,1126.59,1179,2,10.09,23,0,0
Gp10-07,10,10,1000,158.856,1,1079,swap+insert,nd,7.22307,0.571267,0.551264,0.8136,SHC_with_budget,1081,1106.15,1143,8274,15206.5,30456,0,0
Gp10-07,10,10,1000,158.856,1,1079,swap_critic,nd,5.3481,0.680037,0.551288,0.7519,SHC,1084,1142.35,1214,1,7.77,19,0,0
Gp10-07,10,10,1000,158.856,1,1079,swap_critic,nd,5.3481,0.680037,0.551288,0.7519,SHC_with_budget,1081,1105.92,1134,5736,11669.9,26600,0,0
Gp10-07,10,10,1000,158.856,1,1079,insert_critic,nd,7.85384,0.764417,0.888664,0.8383,SHC,1107,1168.24,1267,1,5.51,14,0,0
