nom_instance,nbr_machine,nbr_job,borne_inférieur,ecart_type,optimum_connu,optimum_global,voisinage,fitness,rugosité,rugosité_sans_neutre,rugosité_sans_plateau,taux_neutre,descente,resultat_min,resultat_moyen,resultat_max,nbr_pas_min,nbr_pas_moyen,nbr_pas_max,freq_optimum_glob,freq_borne_inf
Gp08-06,8,8,1000,174.967,1,1115,swap,nd,5.10766,0.590916,0.694954,0.7311,SHC,1147,1167.47,1199,2,7.75,16,0,0
Gp08-06,8,8,1000,174.967,1,1115,swap,nd,5.10766,0.590916,0.694954,0.7311,SHC_with_budget,1147,1151,1174,4735,7851.02,14255,0,0
Gp08-06,8,8,1000,174.967,1,1115,insert,nd,11.6784,0.744601,0.702759,0.8202,SHC,1148,1181.11,1225,1,6.1,13,0,0
Gp08-06,8,8,1000,174.967,1,1115,insert,nd,11.6784,0.744601,0.702759,0.8202,SHC_with_budget,1147,1153.11,1174,5499,9583.42,20190,0,0
Gp08-06,8,8,1000,174.967,1,1115,swap+insert,nd,5.96674,0.777145,0.798197,0.7949,SHC,1147,1169,1199,2,7.31,15,0,0
Gp08-06,8,8,1000,174.967,1,1115,swap+insert,nd,5.96674,0.777145,0.798197,0.7949,SHC_with_budget,1147,1152.67,1174,5286,8374.88,18572,0,0
Gp08-06,8,8,1000,174.967,1,1115,swap_critic,nd,3.81801,0.758607,0.698204,0.7299,SHC,1148,1179.98,1223,1,6.73,14,0,0
Gp08-06,8,8,1000,174.967,1,1115,swap_critic,nd,3.81801,0.758607,0.698204,0.7299,SHC_with_budget,1147,1151.12,1186,3058,6274.28,14748,0,0
Gp08-06,8,8,1000,174.967,1,1115,insert_critic,nd,8.74047,0.639813,0.580503,0.8124,SHC,1148,1207.68,1312,1,4.06,10,0,0
Gp08-06,8,8,1000,174.967,1,1115,insert_critic,nd,8.74047,0.639813,0.580503,0.8124,SHC_with_budget,1148,1194.47,1274,1832,4648.82,7429,0,0
Gp08-06,8,8,1000,174.967,1,1115,swap+insert_critic,nd,4.27507,0.782517,0.577888,0.7979,SHC,1148,1180.55,1254,2,6.71,15,0,0
Gp08-06,8,8,1000,174.967,1,1115,swap+insert_critic,nd,4.27507,0.782517,0.577888,0.7979,SHC_with_budget,1147,1153.23,1174,3929,7122.83,15053,0,0
Gp08-06,8,8,1000,174.967,1,1115,swap,giffler,2.45028,1.55122,1.6162,0.4234,SHC,1157,1248.6,1408,4,15.51,36,0,0
Gp08-06,8,8,1000,174.967,1,1115,swap,giffler,2.45028,1.55122,1.6162,0.4234,SHC_with_budget,1130,1186.21,1263,2757,5797.88,13699,0,0
Gp08-06,8,8,1000,174.967,1,1115,insert,giffler,5.3105,1.66433,1.60611,0.5895,SHC,1158,1296.04,1551,3,11.99,32,0,0
Gp08-06,8,8,1000,174.967,1,1115,insert,giffler,5.3105,1.66433,1.60611,0.5895,SHC_with_budget,1145,1188.16,1262,3771,7537.84,13852,0,0
Gp08-06,8,8,1000,174.967,1,1115,swap+insert,giffler,3.13953,1.71657,1.3194,0.5385,SHC,1154,1256.75,1411,3,15.16,31,0,0
Gp08-06,8,8,1000,174.967,1,1115,swap+insert,giffler,3.13953,1.71657,1.3194,0.5385,SHC_with_budget,1116,1190.23,1262,3587,7084.17,15817,0,0
Gp08-06,8,8,1000,174.967,1,1115,swap_critic,giffler,3.01691,1.50289,1.16155,0.4292,SHC,1183,1269.51,1417,3,13.87,35,0,0
Gp08-06,8,8,1000,174.967,1,1115,swap_critic,giffler,3.01691,1.50289,1.16155,0.4292,SHC_with_budget,1116,1187.33,1259,243,2452.89,6156,0,0
Gp08-06,8,8,1000,174.967,1,1115,insert_critic,giffler,3.52769,2.13388,1.34176,0.6013,SHC,1210,1348.7,1613,1,9.38,25,0,0
Gp08-06,8,8,1000,174.967,1,1115,insert_critic,giffler,3.52769,2.13388,1.34176,0.6013,SHC_with_budget,1183,1291.76,1497,2,1772.56,4474,0,0
Gp08-06,8,8,1000,174.967,1,1115,swap+insert_critic,giffler,3.53864,1.40269,1.83505,0.5414,SHC,1168,1282.74,1458,1,13.84,28,0,0
Gp08-06,8,8,1000,174.967,1,1115,swap+insert_critic,giffler,3.53864,1.40269,1.83505,0.5414,SHC_with_budget,1144,1201.8,1331,17,3052.81,12035,0,0
