nom_instance,nbr_machine,nbr_job,borne_inférieur,ecart_type,optimum_connu,optimum_global,voisinage,fitness,rugosité,rugosité_sans_neutre,rugosité_sans_plateau,taux_neutre,descente,resultat_min,resultat_moyen,resultat_max,nbr_pas_min,nbr_pas_moyen,nbr_pas_max,freq_optimum_glob,freq_borne_inf
Gp10-03,10,10,1000,144.137,1,1081,swap,nd,3.78276,0.646336,0.644902,0.7514,SHC,1103,1137.96,1163,4,9.55,20,0,0
Gp10-03,10,10,1000,144.137,1,1081,swap,nd,3.78276,0.646336,0.644902,0.7514,SHC_with_budget,1099,1119.12,1141,7664,14045,28140,0,0
Gp10-03,10,10,1000,144.137,1,1081,insert,nd,6.01329,0.586059,0.707805,0.8414,SHC,1099,1144.67,1180,2,8.27,17,0,0
Gp10-03,10,10,1000,144.137,1,1081,insert,nd,6.01329,0.586059,0.707805,0.8414,SHC_with_budget,1099,1122.31,1144,8257,14879.6,27890,0,0
Gp10-03,10,10,1000,144.137,1,1081,swap+insert,nd,9.86926,0.737845,0.792095,0.821,SHC,1102,1135.56,1165,3,10.07,20,0,0
Gp10-03,10,10,1000,144.137,1,1081,swap+insert,nd,9.86926,0.737845,0.792095,0.821,SHC_with_budget,1101,1121.62,1150,8357,15546,40505,0,0
Gp10-03,10,10,1000,144.137,1,1081,swap_critic,nd,4.87277,0.635644,0.638874,0.7543,SHC,1111,1148.72,1184,2,7.36,18,0,0
Gp10-03,10,10,1000,144.137,1,1081,swap_critic,nd,4.87277,0.635644,0.638874,0.7543,SHC_with_budget,1102,1119.86,1141,5756,10727.3,20675,0,0
Gp10-03,10,10,1000,144.137,1,1081,insert_critic,nd,12.8216,0.625792,0.749833,0.8468,SHC,1130,1176.64,1237,1,4.72,11,0,0
