nom_instance,nbr_machine,nbr_job,borne_inférieur,ecart_type,optimum_connu,optimum_global,voisinage,fitness,rugosité,rugosité_sans_neutre,rugosité_sans_plateau,taux_neutre,descente,resultat_min,resultat_moyen,resultat_max,nbr_pas_min,nbr_pas_moyen,nbr_pas_max,freq_optimum_glob,freq_borne_inf
Gp08-02,8,8,1000,169.626,1,1135,swap,nd,3.62645,0.518735,0.685588,0.7293,SHC,1137,1159.55,1197,2,7.87,17,0,0
Gp08-02,8,8,1000,169.626,1,1135,swap,nd,3.62645,0.518735,0.685588,0.7293,SHC_with_budget,1137,1146.43,1161,4682,7118.23,14038,0,0
Gp08-02,8,8,1000,169.626,1,1135,insert,nd,8.17612,0.39414,0.408951,0.8283,SHC,1138,1178.15,1246,1,6.71,14,0,0
Gp08-02,8,8,1000,169.626,1,1135,insert,nd,8.17612,0.39414,0.408951,0.8283,SHC_with_budget,1137,1148.53,1184,5359,9260.58,17121,0,0
Gp08-02,8,8,1000,169.626,1,1135,swap+insert,nd,3.80837,0.519201,0.441658,0.7996,SHC,1137,1162.24,1206,1,7.58,15,0,0
Gp08-02,8,8,1000,169.626,1,1135,swap+insert,nd,3.80837,0.519201,0.441658,0.7996,SHC_with_budget,1136,1147.67,1161,4992,7947.26,18261,0,0
Gp08-02,8,8,1000,169.626,1,1135,swap_critic,nd,3.90171,0.560518,0.477702,0.7396,SHC,1137,1178.71,1259,2,6.09,18,0,0
Gp08-02,8,8,1000,169.626,1,1135,swap_critic,nd,3.90171,0.560518,0.477702,0.7396,SHC_with_budget,1136,1146.4,1165,2907,5917.03,13133,0,0
Gp08-02,8,8,1000,169.626,1,1135,insert_critic,nd,5.62057,0.496089,0.421807,0.8304,SHC,1149,1205.88,1286,1,4.13,11,0,0
Gp08-02,8,8,1000,169.626,1,1135,insert_critic,nd,5.62057,0.496089,0.421807,0.8304,SHC_with_budget,1138,1197.26,1286,2281,4525.72,8767,0,0
Gp08-02,8,8,1000,169.626,1,1135,swap+insert_critic,nd,6.50544,0.54995,0.522208,0.7773,SHC,1145,1179.84,1240,1,6.27,14,0,0
Gp08-02,8,8,1000,169.626,1,1135,swap+insert_critic,nd,6.50544,0.54995,0.522208,0.7773,SHC_with_budget,1136,1145.91,1161,3794,7262.82,15068,0,0
Gp08-02,8,8,1000,169.626,1,1135,swap,giffler,3.18772,1.61214,1.07359,0.4344,SHC,1143,1250.56,1376,6,15.53,32,0,0
Gp08-02,8,8,1000,169.626,1,1135,swap,giffler,3.18772,1.61214,1.07359,0.4344,SHC_with_budget,1135,1189.79,1248,2696,5333.84,14251,0.01,0
Gp08-02,8,8,1000,169.626,1,1135,insert,giffler,4.34126,1.56083,1.52739,0.5861,SHC,1168,1299.58,1503,2,12.21,26,0,0
Gp08-02,8,8,1000,169.626,1,1135,insert,giffler,4.34126,1.56083,1.52739,0.5861,SHC_with_budget,1135,1191.14,1261,3727,8035.76,19717,0.01,0
Gp08-02,8,8,1000,169.626,1,1135,swap+insert,giffler,4.11722,1.31739,1.46701,0.542,SHC,1177,1263.37,1409,4,15.49,34,0,0
Gp08-02,8,8,1000,169.626,1,1135,swap+insert,giffler,4.11722,1.31739,1.46701,0.542,SHC_with_budget,1135,1190.06,1248,3689,7132.39,14458,0.01,0
Gp08-02,8,8,1000,169.626,1,1135,swap_critic,giffler,2.65195,1.10274,1.60613,0.4315,SHC,1171,1281.66,1451,1,12.64,28,0,0
Gp08-02,8,8,1000,169.626,1,1135,swap_critic,giffler,2.65195,1.10274,1.60613,0.4315,SHC_with_budget,1136,1195.68,1282,30,2262.23,6988,0,0
Gp08-02,8,8,1000,169.626,1,1135,insert_critic,giffler,5.55173,1.67124,1.61918,0.6038,SHC,1179,1341.15,1533,3,10.22,27,0,0
Gp08-02,8,8,1000,169.626,1,1135,insert_critic,giffler,5.55173,1.67124,1.61918,0.6038,SHC_with_budget,1183,1306.19,1532,53,1803.67,4287,0,0
Gp08-02,8,8,1000,169.626,1,1135,swap+insert_critic,giffler,3.39507,1.77424,1.63954,0.5259,SHC,1161,1288.8,1504,3,12.92,30,0,0
Gp08-02,8,8,1000,169.626,1,1135,swap+insert_critic,giffler,3.39507,1.77424,1.63954,0.5259,SHC_with_budget,1135,1199.67,1336,32,3205.57,9863,0.01,0
Gp08-02,8,8,1000,169.626,1,1135,swap,FIFO-simple,2.63965,0.973978,0.997834,0.5937,SHC,1197,1337.92,1520,4,17.06,32,0,0
Gp08-02,8,8,1000,169.626,1,1135,swap,FIFO-simple,2.63965,0.973978,0.997834,0.5937,SHC_with_budget,1146,1233.88,1317,2920,5431.44,14486,0,0
Gp08-02,8,8,1000,169.626,1,1135,insert,FIFO-simple,7.09606,0.976837,0.974872,0.7359,SHC,1247,1405.14,1594,3,11.57,26,0,0
Gp08-02,8,8,1000,169.626,1,1135,insert,FIFO-simple,7.09606,0.976837,0.974872,0.7359,SHC_with_budget,1153,1236.23,1354,4365,8048.21,18694,0,0
Gp08-02,8,8,1000,169.626,1,1135,swap+insert,FIFO-simple,5.49195,1.09202,1.11894,0.6807,SHC,1193,1331.17,1490,5,16.29,32,0,0
