nom_instance,nbr_machine,nbr_job,borne_inférieur,ecart_type,optimum_connu,optimum_global,voisinage,fitness,rugosité,rugosité_sans_neutre,rugosité_sans_plateau,taux_neutre,descente,resultat_min,resultat_moyen,resultat_max,nbr_pas_min,nbr_pas_moyen,nbr_pas_max,freq_optimum_glob,freq_borne_inf
Gp10-05,10,10,1000,140.023,1,1071,swap,nd,3.5754,0.49178,0.672515,0.7394,SHC,1095,1125.71,1153,2,8.79,16,0,0
Gp10-05,10,10,1000,140.023,1,1071,swap,nd,3.5754,0.49178,0.672515,0.7394,SHC_with_budget,1093,1109.15,1131,7423,13956.4,37535,0,0
Gp10-05,10,10,1000,140.023,1,1071,insert,nd,5.38027,0.660084,0.586342,0.8251,SHC,1102,1137.33,1169,2,7.33,17,0,0
Gp10-05,10,10,1000,140.023,1,1071,insert,nd,5.38027,0.660084,0.586342,0.8251,SHC_with_budget,1092,1112.15,1137,8466,15876.1,33631,0,0
Gp10-05,10,10,1000,140.023,1,1071,swap+insert,nd,3.84729,0.583149,0.667178,0.7961,SHC,1095,1127.14,1159,2,9.18,19,0,0
Gp10-05,10,10,1000,140.023,1,1071,swap+insert,nd,3.84729,0.583149,0.667178,0.7961,SHC_with_budget,1092,1109.58,1132,8058,16151.5,34150,0,0
Gp10-05,10,10,1000,140.023,1,1071,swap_critic,nd,4.66183,0.459876,0.537663,0.7344,SHC,1094,1137.53,1179,1,7.74,20,0,0
Gp10-05,10,10,1000,140.023,1,1071,swap_critic,nd,4.66183,0.459876,0.537663,0.7344,SHC_with_budget,1089,1110.73,1143,4130,12326.5,32268,0,0
Gp10-05,10,10,1000,140.023,1,1071,insert_critic,nd,7.23738,0.590044,0.631835,0.8319,SHC,1103,1162.81,1225,1,5.19,11,0,0
