nom_instance,nbr_machine,nbr_job,borne_inférieur,ecart_type,optimum_connu,optimum_global,voisinage,fitness,rugosité,rugosité_sans_neutre,rugosité_sans_plateau,taux_neutre,descente,resultat_min,resultat_moyen,resultat_max,nbr_pas_min,nbr_pas_moyen,nbr_pas_max,freq_optimum_glob,freq_borne_inf
Gp08-07,8,8,1000,179.754,1,1126,swap,nd,5.00992,0.634259,0.815503,0.7462,SHC,1163,1181.26,1233,2,8.58,17,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap,nd,5.00992,0.634259,0.815503,0.7462,SHC_with_budget,1152,1165.56,1186,4532,7465.05,13989,0,0
Gp08-07,8,8,1000,179.754,1,1126,insert,nd,5.91086,0.902921,0.737107,0.8291,SHC,1156,1197.78,1283,2,6.94,20,0,0
Gp08-07,8,8,1000,179.754,1,1126,insert,nd,5.91086,0.902921,0.737107,0.8291,SHC_with_budget,1151,1167.79,1194,5345,9333.46,17530,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap+insert,nd,4.53652,0.731958,0.845314,0.7996,SHC,1161,1186.26,1280,1,8.08,19,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap+insert,nd,4.53652,0.731958,0.845314,0.7996,SHC_with_budget,1151,1166.58,1202,5064,8753.29,18832,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap_critic,nd,4.5173,0.706471,0.678027,0.7392,SHC,1161,1213.4,1292,1,6.51,15,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap_critic,nd,4.5173,0.706471,0.678027,0.7392,SHC_with_budget,1152,1165.55,1193,2829,5987.86,14356,0,0
Gp08-07,8,8,1000,179.754,1,1126,insert_critic,nd,7.99568,0.752611,0.882398,0.8318,SHC,1164,1261.99,1473,1,4.21,10,0,0
Gp08-07,8,8,1000,179.754,1,1126,insert_critic,nd,7.99568,0.752611,0.882398,0.8318,SHC_with_budget,1159,1237.68,1441,1749,4609.84,9654,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap+insert_critic,nd,6.35698,0.569652,0.74828,0.8085,SHC,1161,1216.02,1325,1,6.75,15,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap+insert_critic,nd,6.35698,0.569652,0.74828,0.8085,SHC_with_budget,1151,1169.61,1204,3466,6891.73,20403,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap,giffler,3.35594,1.7167,1.32447,0.4287,SHC,1181,1269.2,1407,3,14.64,28,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap,giffler,3.35594,1.7167,1.32447,0.4287,SHC_with_budget,1129,1182.67,1236,2958,5723.88,11976,0,0
Gp08-07,8,8,1000,179.754,1,1126,insert,giffler,7.92477,1.61588,1.93084,0.607,SHC,1195,1316.62,1445,5,11.18,21,0,0
Gp08-07,8,8,1000,179.754,1,1126,insert,giffler,7.92477,1.61588,1.93084,0.607,SHC_with_budget,1130,1187.16,1259,4246,8027.88,15115,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap+insert,giffler,3.50847,2.04919,1.68924,0.5506,SHC,1169,1262.46,1396,3,15.56,35,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap+insert,giffler,3.50847,2.04919,1.68924,0.5506,SHC_with_budget,1130,1185.85,1281,3552,7170.37,14627,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap_critic,giffler,2.98589,1.93785,1.43776,0.4427,SHC,1133,1291.41,1435,4,13.07,27,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap_critic,giffler,2.98589,1.93785,1.43776,0.4427,SHC_with_budget,1129,1195.02,1372,18,2462.97,7014,0,0
Gp08-07,8,8,1000,179.754,1,1126,insert_critic,giffler,4.17171,1.40526,1.5915,0.5999,SHC,1213,1362.42,1657,2,8.51,21,0,0
Gp08-07,8,8,1000,179.754,1,1126,insert_critic,giffler,4.17171,1.40526,1.5915,0.5999,SHC_with_budget,1193,1315.58,1535,3,1705.21,4932,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap+insert_critic,giffler,3.77516,1.5266,1.76731,0.5491,SHC,1169,1289.83,1437,3,14.3,31,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap+insert_critic,giffler,3.77516,1.5266,1.76731,0.5491,SHC_with_budget,1131,1200.88,1408,30,3336,8170,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap,FIFO-simple,3.5116,0.999391,0.973664,0.5844,SHC,1224,1333.61,1493,3,17.03,44,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap,FIFO-simple,3.5116,0.999391,0.973664,0.5844,SHC_with_budget,1148,1223.93,1362,2861,5658.91,11318,0,0
Gp08-07,8,8,1000,179.754,1,1126,insert,FIFO-simple,6.00109,1.15484,1.06681,0.7382,SHC,1273,1398.44,1599,2,11.74,27,0,0
Gp08-07,8,8,1000,179.754,1,1126,insert,FIFO-simple,6.00109,1.15484,1.06681,0.7382,SHC_with_budget,1129,1225.45,1325,4180,8331.91,16641,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap+insert,FIFO-simple,4.76181,1.10757,1.21184,0.698,SHC,1201,1338.15,1475,4,15.81,35,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap+insert,FIFO-simple,4.76181,1.10757,1.21184,0.698,SHC_with_budget,1139,1226.9,1358,3480,8021.38,15960,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap_critic,FIFO-simple,3.52705,1.29766,1.21367,0.5879,SHC,1518,1774.47,2173,1,1,1,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap_critic,FIFO-simple,3.52705,1.29766,1.21367,0.5879,SHC_with_budget,1433,1761.28,2258,1,1,1,0,0
Gp08-07,8,8,1000,179.754,1,1126,insert_critic,FIFO-simple,5.78074,1.24238,1.12874,0.7354,SHC,1460,1790.95,2281,1,1,1,0,0
Gp08-07,8,8,1000,179.754,1,1126,insert_critic,FIFO-simple,5.78074,1.24238,1.12874,0.7354,SHC_with_budget,1484,1756.06,2167,1,1,1,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap+insert_critic,FIFO-simple,3.87963,0.924569,1.27609,0.7017,SHC,1493,1767.66,2204,1,1,1,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap+insert_critic,FIFO-simple,3.87963,0.924569,1.27609,0.7017,SHC_with_budget,1502,1798.59,2170,1,1,1,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap,FIFO-critique,10.8006,5.43497,5.41719,0.3799,SHC,1248,1424.61,1644,33,61.84,112,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap,FIFO-critique,10.8006,5.43497,5.41719,0.3799,SHC_with_budget,1131,1283.07,1453,1667,3013.23,6944,0,0
Gp08-07,8,8,1000,179.754,1,1126,insert,FIFO-critique,14.1889,5.68865,6.84399,0.5896,SHC,1294,1507.63,2106,14,52.13,88,0,0
Gp08-07,8,8,1000,179.754,1,1126,insert,FIFO-critique,14.1889,5.68865,6.84399,0.5896,SHC_with_budget,1149,1269.8,1469,2832,4473.72,7951,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap+insert,FIFO-critique,10.0956,8.27141,4.43342,0.5442,SHC,1223,1406.01,1648,35,63.81,95,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap+insert,FIFO-critique,10.0956,8.27141,4.43342,0.5442,SHC_with_budget,1127,1270.53,1435,2333,3867.02,7042,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap_critic,FIFO-critique,10.3242,5.16927,5.15545,0.3803,SHC,1288,1432.47,1657,27,60.56,93,0,0
Gp08-07,8,8,1000,179.754,1,1126,swap_critic,FIFO-critique,10.3242,5.16927,5.15545,0.3803,SHC_with_budget,1200,1375.35,1631,38,98.15,455,0,0
Gp08-07,8,8,1000,179.754,1,1126,insert_critic,FIFO-critique,12.2117,8.1011,7.55631,0.5929,SHC,1271,1526.08,2329,9,50.79,88,0,0
Gp08-07,8,8,1000,179.754,1,1126,insert_critic,FIFO-critique,12.2117,8.1011,7.55631,0.5929,SHC_with_budget,1206,1384.81,1631,40,112.53,702,0,0
