nom_instance,nbr_machine,nbr_job,borne_inférieur,ecart_type,optimum_connu,optimum_global,voisinage,fitness,rugosité,rugosité_sans_neutre,rugosité_sans_plateau,taux_neutre,descente,resultat_min,resultat_moyen,resultat_max,nbr_pas_min,nbr_pas_moyen,nbr_pas_max,freq_optimum_glob,freq_borne_inf
Gp08-08,8,8,1000,184.515,1,1148,swap,nd,5.52522,0.554862,0.64983,0.7445,SHC,1161,1179.06,1224,2,7.53,16,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap,nd,5.52522,0.554862,0.64983,0.7445,SHC_with_budget,1161,1164.52,1173,4778,7182.97,13854,0,0
Gp08-08,8,8,1000,184.515,1,1148,insert,nd,7.90507,0.72229,0.502789,0.8342,SHC,1163,1193.93,1237,1,6.09,16,0,0
Gp08-08,8,8,1000,184.515,1,1148,insert,nd,7.90507,0.72229,0.502789,0.8342,SHC_with_budget,1161,1166.01,1190,5288,8282.37,17616,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap+insert,nd,4.50336,0.707435,0.602766,0.8113,SHC,1161,1178.88,1221,1,7.76,21,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap+insert,nd,4.50336,0.707435,0.602766,0.8113,SHC_with_budget,1161,1165.55,1189,4973,7904.38,19670,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap_critic,nd,4.17942,0.568568,0.540614,0.7354,SHC,1161,1195.38,1240,1,5.58,12,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap_critic,nd,4.17942,0.568568,0.540614,0.7354,SHC_with_budget,1161,1164.37,1173,3415,6154.87,13107,0,0
Gp08-08,8,8,1000,184.515,1,1148,insert_critic,nd,6.06162,0.513819,0.58261,0.8344,SHC,1162,1219.23,1273,1,4.38,13,0,0
Gp08-08,8,8,1000,184.515,1,1148,insert_critic,nd,6.06162,0.513819,0.58261,0.8344,SHC_with_budget,1164,1214.28,1267,2188,4645.26,7871,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap+insert_critic,nd,7.79745,0.753825,0.702803,0.7996,SHC,1161,1193.9,1244,1,5.84,14,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap+insert_critic,nd,7.79745,0.753825,0.702803,0.7996,SHC_with_budget,1161,1164.73,1189,3778,6686.39,14011,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap,giffler,3.58334,1.18059,1.74937,0.4491,SHC,1173,1259.26,1411,3,15.54,31,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap,giffler,3.58334,1.18059,1.74937,0.4491,SHC_with_budget,1148,1185.4,1258,2750,6138.02,13505,0.02,0
Gp08-08,8,8,1000,184.515,1,1148,insert,giffler,3.97558,1.56994,1.40905,0.6171,SHC,1165,1299.21,1463,2,11.9,26,0,0
Gp08-08,8,8,1000,184.515,1,1148,insert,giffler,3.97558,1.56994,1.40905,0.6171,SHC_with_budget,1148,1194.3,1260,4110,7955.51,19911,0.01,0
Gp08-08,8,8,1000,184.515,1,1148,swap+insert,giffler,4.15997,1.53658,1.92449,0.5707,SHC,1166,1254.37,1418,6,15.93,33,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap+insert,giffler,4.15997,1.53658,1.92449,0.5707,SHC_with_budget,1148,1185.64,1232,3475,7571.3,15523,0.02,0
Gp08-08,8,8,1000,184.515,1,1148,swap_critic,giffler,2.86615,2.10435,1.83968,0.4406,SHC,1173,1285.94,1523,2,13.47,37,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap_critic,giffler,2.86615,2.10435,1.83968,0.4406,SHC_with_budget,1148,1195.04,1262,22,2740.31,6032,0.02,0
Gp08-08,8,8,1000,184.515,1,1148,insert_critic,giffler,6.75399,1.4384,1.53903,0.617,SHC,1215,1348.84,1559,2,9.87,21,0,0
Gp08-08,8,8,1000,184.515,1,1148,insert_critic,giffler,6.75399,1.4384,1.53903,0.617,SHC_with_budget,1206,1301.46,1454,31,1869.44,3913,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap+insert_critic,giffler,3.88853,1.71994,1.07262,0.5389,SHC,1165,1290.37,1438,3,13.52,32,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap+insert_critic,giffler,3.88853,1.71994,1.07262,0.5389,SHC_with_budget,1152,1197.5,1367,18,3371.16,9116,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap,FIFO-simple,3.6484,0.954861,0.933672,0.618,SHC,1209,1356.14,1554,6,16.06,46,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap,FIFO-simple,3.6484,0.954861,0.933672,0.618,SHC_with_budget,1148,1229.99,1326,2583,5088.53,11307,0.01,0
Gp08-08,8,8,1000,184.515,1,1148,insert,FIFO-simple,6.94334,1.37034,1.14536,0.7572,SHC,1211,1404.44,1676,3,12.19,25,0,0
Gp08-08,8,8,1000,184.515,1,1148,insert,FIFO-simple,6.94334,1.37034,1.14536,0.7572,SHC_with_budget,1148,1234.44,1399,4025,8084.92,16757,0.02,0
Gp08-08,8,8,1000,184.515,1,1148,swap+insert,FIFO-simple,5.03324,1.07056,1.2886,0.7038,SHC,1201,1350.44,1598,4,16.81,33,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap+insert,FIFO-simple,5.03324,1.07056,1.2886,0.7038,SHC_with_budget,1148,1239.8,1399,3923,7072.78,18939,0.01,0
Gp08-08,8,8,1000,184.515,1,1148,swap_critic,FIFO-simple,4.32316,0.948212,0.902478,0.6155,SHC,1441,1821.92,2223,1,1,1,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap_critic,FIFO-simple,4.32316,0.948212,0.902478,0.6155,SHC_with_budget,1492,1843.24,2286,1,1,1,0,0
Gp08-08,8,8,1000,184.515,1,1148,insert_critic,FIFO-simple,5.36065,1.40308,1.15059,0.7519,SHC,1465,1833.14,2335,1,1,1,0,0
Gp08-08,8,8,1000,184.515,1,1148,insert_critic,FIFO-simple,5.36065,1.40308,1.15059,0.7519,SHC_with_budget,1505,1816.75,2399,1,1,1,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap+insert_critic,FIFO-simple,5.05133,1.34359,1.02914,0.6979,SHC,1450,1801.47,2392,1,1,1,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap+insert_critic,FIFO-simple,5.05133,1.34359,1.02914,0.6979,SHC_with_budget,1404,1844.06,2367,1,1,1,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap,FIFO-critique,8.44621,5.65638,4.51063,0.3771,SHC,1232,1442.7,1853,25,64.19,102,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap,FIFO-critique,8.44621,5.65638,4.51063,0.3771,SHC_with_budget,1148,1325.1,1424,1666,2850.05,6899,0.01,0
Gp08-08,8,8,1000,184.515,1,1148,insert,FIFO-critique,13.0896,6.68391,6.61721,0.5937,SHC,1252,1563.1,2341,5,50.35,91,0,0
Gp08-08,8,8,1000,184.515,1,1148,insert,FIFO-critique,13.0896,6.68391,6.61721,0.5937,SHC_with_budget,1148,1300.62,1440,2895,4277.68,8939,0.01,0
Gp08-08,8,8,1000,184.515,1,1148,swap+insert,FIFO-critique,16.9379,6.3869,5.06659,0.5016,SHC,1215,1442.88,1698,31,64.35,112,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap+insert,FIFO-critique,16.9379,6.3869,5.06659,0.5016,SHC_with_budget,1204,1312.84,1424,2313,3795.22,6818,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap_critic,FIFO-critique,8.2077,5.6756,5.85255,0.3782,SHC,1208,1429.33,1689,30,63.08,114,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap_critic,FIFO-critique,8.2077,5.6756,5.85255,0.3782,SHC_with_budget,1234,1406.04,1641,36,101.84,364,0,0
Gp08-08,8,8,1000,184.515,1,1148,insert_critic,FIFO-critique,13.1095,6.73657,5.77995,0.5867,SHC,1258,1530,2050,22,52.44,96,0,0
Gp08-08,8,8,1000,184.515,1,1148,insert_critic,FIFO-critique,13.1095,6.73657,5.77995,0.5867,SHC_with_budget,1187,1414.01,1704,29,100.91,578,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap+insert_critic,FIFO-critique,12.4952,5.02117,7.08347,0.5361,SHC,1256,1447.74,1690,25,64.13,106,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap+insert_critic,FIFO-critique,12.4952,5.02117,7.08347,0.5361,SHC_with_budget,1212,1410.75,1689,43,106.37,362,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap,best,5.0325,0.681186,0.580255,0.7368,SHC,1161,1178.27,1226,1,7.52,17,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap,best,5.0325,0.681186,0.580255,0.7368,SHC_with_budget,1161,1164.37,1186,4642,7252.74,13540,0,0
Gp08-08,8,8,1000,184.515,1,1148,insert,best,6.46096,0.735608,0.688956,0.8258,SHC,1161,1192.1,1240,1,6.34,14,0,0
Gp08-08,8,8,1000,184.515,1,1148,insert,best,6.46096,0.735608,0.688956,0.8258,SHC_with_budget,1161,1165.76,1186,5371,8030.28,20729,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap+insert,best,8.56929,0.876623,0.593804,0.7944,SHC,1163,1180.52,1215,2,7.38,15,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap+insert,best,8.56929,0.876623,0.593804,0.7944,SHC_with_budget,1155,1164.59,1171,5078,7756.95,15311,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap_critic,best,3.67987,0.735071,0.811535,0.7502,SHC,1163,1195.76,1245,2,6.09,16,0,0
Gp08-08,8,8,1000,184.515,1,1148,swap_critic,best,3.67987,0.735071,0.811535,0.7502,SHC_with_budget,1161,1164.97,1194,3423,5825.63,12492,0,0
