nom_instance,nbr_machine,nbr_job,borne_inférieur,ecart_type,optimum_connu,optimum_global,voisinage,fitness,rugosité,rugosité_sans_neutre,rugosité_sans_plateau,taux_neutre,descente,resultat_min,resultat_moyen,resultat_max,nbr_pas_min,nbr_pas_moyen,nbr_pas_max,freq_optimum_glob,freq_borne_inf
Gp08-09,8,8,1000,193.864,1,1114,swap,nd,4.66938,0.750637,0.603914,0.7208,SHC,1132,1143.9,1196,3,8.6,19,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap,nd,4.66938,0.750637,0.603914,0.7208,SHC_with_budget,1132,1132.87,1160,4488,7615.65,15361,0,0
Gp08-09,8,8,1000,193.864,1,1114,insert,nd,9.56165,0.751014,0.922887,0.8306,SHC,1132,1154,1208,2,6.76,13,0,0
Gp08-09,8,8,1000,193.864,1,1114,insert,nd,9.56165,0.751014,0.922887,0.8306,SHC_with_budget,1132,1135.74,1160,5207,9209.21,21303,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap+insert,nd,10.6281,0.756249,0.856591,0.7787,SHC,1132,1145.49,1196,2,8.43,19,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap+insert,nd,10.6281,0.756249,0.856591,0.7787,SHC_with_budget,1122,1134.04,1160,5095,8766.36,18360,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap_critic,nd,5.12664,0.694371,0.843778,0.7268,SHC,1132,1151.28,1197,1,7.1,15,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap_critic,nd,5.12664,0.694371,0.843778,0.7268,SHC_with_budget,1132,1133.39,1150,3724,6012.07,10778,0,0
Gp08-09,8,8,1000,193.864,1,1114,insert_critic,nd,8.65198,0.925886,0.748365,0.8203,SHC,1133,1182.05,1321,1,4.31,10,0,0
Gp08-09,8,8,1000,193.864,1,1114,insert_critic,nd,8.65198,0.925886,0.748365,0.8203,SHC_with_budget,1133,1174.86,1233,2366,4691.62,9943,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap+insert_critic,nd,4.51779,0.747125,0.769731,0.7889,SHC,1132,1156.07,1236,1,6.53,17,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap+insert_critic,nd,4.51779,0.747125,0.769731,0.7889,SHC_with_budget,1132,1135.25,1160,3710,7226.67,19899,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap,giffler,3.29664,1.59546,1.61161,0.4688,SHC,1141,1235.55,1358,4,16.11,36,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap,giffler,3.29664,1.59546,1.61161,0.4688,SHC_with_budget,1115,1154.9,1219,2443,5607.57,12876,0,0
Gp08-09,8,8,1000,193.864,1,1114,insert,giffler,5.68368,1.8305,1.83364,0.6288,SHC,1134,1277.11,1585,3,13.5,25,0,0
Gp08-09,8,8,1000,193.864,1,1114,insert,giffler,5.68368,1.8305,1.83364,0.6288,SHC_with_budget,1115,1157.11,1217,3935,7796.21,14926,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap+insert,giffler,3.01951,1.72298,1.36518,0.5757,SHC,1134,1222.65,1393,4,17.64,34,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap+insert,giffler,3.01951,1.72298,1.36518,0.5757,SHC_with_budget,1115,1154.93,1219,3992,7554.15,14926,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap_critic,giffler,2.52688,1.40997,1.50606,0.4592,SHC,1144,1246.95,1508,3,14.21,30,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap_critic,giffler,2.52688,1.40997,1.50606,0.4592,SHC_with_budget,1116,1158.37,1206,28,2276.97,4876,0,0
Gp08-09,8,8,1000,193.864,1,1114,insert_critic,giffler,6.29897,1.56284,1.72049,0.6269,SHC,1146,1333.55,1640,3,10.33,28,0,0
Gp08-09,8,8,1000,193.864,1,1114,insert_critic,giffler,6.29897,1.56284,1.72049,0.6269,SHC_with_budget,1145,1281.95,1540,9,1881.89,4281,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap+insert_critic,giffler,5.22038,1.43765,1.08896,0.5829,SHC,1143,1242.43,1439,5,15.75,32,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap+insert_critic,giffler,5.22038,1.43765,1.08896,0.5829,SHC_with_budget,1115,1164.38,1344,17,3328.82,9002,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap,FIFO-simple,3.07189,0.840567,0.764737,0.62,SHC,1186,1332.74,1679,3,16.74,35,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap,FIFO-simple,3.07189,0.840567,0.764737,0.62,SHC_with_budget,1121,1206.95,1344,3281,5715.45,12823,0,0
Gp08-09,8,8,1000,193.864,1,1114,insert,FIFO-simple,4.87887,1.13058,1.29993,0.7608,SHC,1196,1407.17,1756,1,12.65,32,0,0
Gp08-09,8,8,1000,193.864,1,1114,insert,FIFO-simple,4.87887,1.13058,1.29993,0.7608,SHC_with_budget,1114,1205.81,1303,4662,8512.4,18130,0.01,0
Gp08-09,8,8,1000,193.864,1,1114,swap+insert,FIFO-simple,5.21073,0.977701,1.05874,0.7087,SHC,1164,1340.68,1527,3,16.9,37,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap+insert,FIFO-simple,5.21073,0.977701,1.05874,0.7087,SHC_with_budget,1119,1198.47,1333,4099,7876.54,18774,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap_critic,FIFO-simple,3.8152,1.09195,1.03851,0.6237,SHC,1508,1834.01,2220,1,1,1,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap_critic,FIFO-simple,3.8152,1.09195,1.03851,0.6237,SHC_with_budget,1475,1812.15,2396,1,1,1,0,0
Gp08-09,8,8,1000,193.864,1,1114,insert_critic,FIFO-simple,3.92501,0.996887,1.29396,0.7484,SHC,1424,1803.32,2313,1,1,1,0,0
Gp08-09,8,8,1000,193.864,1,1114,insert_critic,FIFO-simple,3.92501,0.996887,1.29396,0.7484,SHC_with_budget,1458,1820.49,2247,1,1,1,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap+insert_critic,FIFO-simple,4.55458,1.0438,1.08437,0.7,SHC,1497,1832.72,2240,1,1,1,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap+insert_critic,FIFO-simple,4.55458,1.0438,1.08437,0.7,SHC_with_budget,1568,1856.25,2477,1,1,1,0,0
Gp08-09,8,8,1000,193.864,1,1114,swap,FIFO-critique,8.32031,4.04813,5.59234,0.3881,SHC,1245,1455.51,1701,29,58.94,107,0,0
