nom_instance,nbr_machine,nbr_job,borne_inférieur,ecart_type,optimum_connu,optimum_global,voisinage,fitness,rugosité,rugosité_sans_neutre,rugosité_sans_plateau,taux_neutre,descente,resultat_min,resultat_moyen,resultat_max,nbr_pas_min,nbr_pas_moyen,nbr_pas_max,freq_optimum_glob,freq_borne_inf
Gp09-09,9,9,1000,177.484,1,1123,swap,nd,3.88882,0.663422,0.697827,0.7451,SHC,1132,1164.67,1223,2,9.05,18,0,0
Gp09-09,9,9,1000,177.484,1,1123,swap,nd,3.88882,0.663422,0.697827,0.7451,SHC_with_budget,1131,1142.28,1162,6131,10945.7,20767,0,0
Gp09-09,9,9,1000,177.484,1,1123,insert,nd,8.53238,0.692431,0.623758,0.8289,SHC,1139,1178.08,1254,2,7.19,16,0,0
Gp09-09,9,9,1000,177.484,1,1123,insert,nd,8.53238,0.692431,0.623758,0.8289,SHC_with_budget,1131,1145.66,1188,6838,12664.4,28896,0,0
Gp09-09,9,9,1000,177.484,1,1123,swap+insert,nd,4.64524,0.686229,0.562244,0.8059,SHC,1138,1162.05,1208,3,9.17,16,0,0
Gp09-09,9,9,1000,177.484,1,1123,swap+insert,nd,4.64524,0.686229,0.562244,0.8059,SHC_with_budget,1130,1144.21,1172,6595,11810.1,29801,0,0
Gp09-09,9,9,1000,177.484,1,1123,swap_critic,nd,4.23339,0.468464,0.611614,0.7417,SHC,1139,1180.8,1235,1,7.1,14,0,0
Gp09-09,9,9,1000,177.484,1,1123,swap_critic,nd,4.23339,0.468464,0.611614,0.7417,SHC_with_budget,1130,1142.54,1172,3773,9515.63,29524,0,0
Gp09-09,9,9,1000,177.484,1,1123,insert_critic,nd,9.29887,0.52515,0.772546,0.8385,SHC,1145,1215.82,1305,1,4.51,9,0,0
Gp09-09,9,9,1000,177.484,1,1123,insert_critic,nd,9.29887,0.52515,0.772546,0.8385,SHC_with_budget,1139,1205.8,1284,4119,6494.78,15070,0,0
Gp09-09,9,9,1000,177.484,1,1123,swap+insert_critic,nd,4.07492,0.674049,0.58293,0.7964,SHC,1141,1184.14,1231,2,7.11,14,0,0
