nom_instance,nbr_machine,nbr_job,borne_inférieur,ecart_type,optimum_connu,optimum_global,voisinage,fitness,rugosité,rugosité_sans_neutre,rugosité_sans_plateau,taux_neutre,descente,resultat_min,resultat_moyen,resultat_max,nbr_pas_min,nbr_pas_moyen,nbr_pas_max,freq_optimum_glob,freq_borne_inf
Gp08-03,8,8,1000,173.933,1,1110,swap,nd,4.26507,0.568053,0.530224,0.74,SHC,1116,1137.18,1188,2,7.94,17,0,0
Gp08-03,8,8,1000,173.933,1,1110,swap,nd,4.26507,0.568053,0.530224,0.74,SHC_with_budget,1110,1122.5,1166,4798,7604.64,15257,0.01,0
Gp08-03,8,8,1000,173.933,1,1110,insert,nd,7.83305,0.558346,0.650288,0.8315,SHC,1114,1156.7,1209,1,6.87,17,0,0
Gp08-03,8,8,1000,173.933,1,1110,insert,nd,7.83305,0.558346,0.650288,0.8315,SHC_with_budget,1111,1123.23,1162,5574,9279.03,17631,0,0
Gp08-03,8,8,1000,173.933,1,1110,swap+insert,nd,6.61052,0.682256,0.699898,0.7993,SHC,1120,1147.21,1188,2,7.5,16,0,0
Gp08-03,8,8,1000,173.933,1,1110,swap+insert,nd,6.61052,0.682256,0.699898,0.7993,SHC_with_budget,1111,1123.6,1166,5092,8469.45,14635,0,0
Gp08-03,8,8,1000,173.933,1,1110,swap_critic,nd,3.70057,0.720654,0.576216,0.747,SHC,1121,1162.68,1218,2,6.96,14,0,0
Gp08-03,8,8,1000,173.933,1,1110,swap_critic,nd,3.70057,0.720654,0.576216,0.747,SHC_with_budget,1110,1121.76,1133,3290,5975.33,11471,0.03,0
Gp08-03,8,8,1000,173.933,1,1110,insert_critic,nd,7.43554,0.761214,0.623677,0.8306,SHC,1120,1189.22,1259,1,4.44,13,0,0
Gp08-03,8,8,1000,173.933,1,1110,insert_critic,nd,7.43554,0.761214,0.623677,0.8306,SHC_with_budget,1124,1177.74,1277,1139,4641.14,6737,0,0
Gp08-03,8,8,1000,173.933,1,1110,swap+insert_critic,nd,4.71343,0.686491,0.794239,0.8007,SHC,1120,1161.19,1250,1,6.47,15,0,0
Gp08-03,8,8,1000,173.933,1,1110,swap+insert_critic,nd,4.71343,0.686491,0.794239,0.8007,SHC_with_budget,1110,1122.34,1144,4205,7114.93,15670,0.03,0
Gp08-03,8,8,1000,173.933,1,1110,swap,giffler,2.18084,1.87302,1.35256,0.4207,SHC,1141,1245.62,1433,3,15.54,30,0,0
