nom_instance,nbr_machine,nbr_job,borne_inférieur,ecart_type,optimum_connu,optimum_global,voisinage,fitness,rugosité,rugosité_sans_neutre,rugosité_sans_plateau,taux_neutre,descente,resultat_min,resultat_moyen,resultat_max,nbr_pas_min,nbr_pas_moyen,nbr_pas_max,freq_optimum_glob,freq_borne_inf
Gp08-10,8,8,1000,186.933,1,1161,swap,nd,3.00656,0.594929,0.56152,0.7429,SHC,1162,1175.1,1201,2,7.35,17,0,0
Gp08-10,8,8,1000,186.933,1,1161,swap,nd,3.00656,0.594929,0.56152,0.7429,SHC_with_budget,1162,1163.93,1176,4700,7941.82,18622,0,0
Gp08-10,8,8,1000,186.933,1,1161,insert,nd,7.19881,0.674212,0.631148,0.818,SHC,1163,1183.08,1208,2,6.44,18,0,0
Gp08-10,8,8,1000,186.933,1,1161,insert,nd,7.19881,0.674212,0.631148,0.818,SHC_with_budget,1162,1168.63,1191,5324,8973.27,23107,0,0
Gp08-10,8,8,1000,186.933,1,1161,swap+insert,nd,4.10037,0.64224,0.694504,0.8015,SHC,1163,1178.27,1201,2,7.9,17,0,0
Gp08-10,8,8,1000,186.933,1,1161,swap+insert,nd,4.10037,0.64224,0.694504,0.8015,SHC_with_budget,1162,1166.49,1186,4955,8928.2,16983,0,0
Gp08-10,8,8,1000,186.933,1,1161,swap_critic,nd,3.68367,0.652767,0.569918,0.7407,SHC,1163,1184.25,1241,1,6.44,15,0,0
Gp08-10,8,8,1000,186.933,1,1161,swap_critic,nd,3.68367,0.652767,0.569918,0.7407,SHC_with_budget,1162,1163.68,1186,2575,6642.88,13023,0,0
Gp08-10,8,8,1000,186.933,1,1161,insert_critic,nd,7.53118,0.692158,0.61313,0.8182,SHC,1163,1201.98,1263,1,4.55,11,0,0
Gp08-10,8,8,1000,186.933,1,1161,insert_critic,nd,7.53118,0.692158,0.61313,0.8182,SHC_with_budget,1163,1194.6,1275,1948,4556.78,9042,0,0
Gp08-10,8,8,1000,186.933,1,1161,swap+insert_critic,nd,8.43913,0.661297,0.544503,0.7986,SHC,1163,1182.48,1215,1,6.95,15,0,0
Gp08-10,8,8,1000,186.933,1,1161,swap+insert_critic,nd,8.43913,0.661297,0.544503,0.7986,SHC_with_budget,1162,1166.21,1187,3113,7114.63,16089,0,0
Gp08-10,8,8,1000,186.933,1,1161,swap,giffler,2.71481,1.33907,1.44309,0.4552,SHC,1178,1245.51,1362,6,15.78,32,0,0
